row,study.no,temp,r,Ro,longevity,fecundity,Tea,Tg,time.unit,time,beyondTopt
93,18,32,0.516,NA,12.7,19.7,21.2,5.6,week,3.028571429,yes
94,18,34,0,NA,4.9,0.04,23.5,0,week,3.357142857,yes
95,19,18.3,0.16,73,20.4,387.5,23,23.5,day,3.285714286,no
96,19,21.1,0.24,140.1,18.2,578.5,17.2,18.4,day,2.457142857,no
97,19,23.9,0.25,112.4,10.6,299.9,14.2,18.3,day,2.028571429,no
98,20,15.6,0.18,221.9,14.1,457.7,26.9,29.3,day,3.842857143,no
99,20,21.1,0.38,492.9,14.3,844.7,14.4,16,day,2.057142857,no
100,20,26.7,0.48,229.4,7.9,493.3,9.7,11.2,day,1.385714286,no
101,20,29.4,0.43,116.8,6.5,335.9,9.3,11.6,day,1.328571429,yes
102,21,15.6,0.09,48.4,70.4,429.4,38.4,43.1,day,5.485714286,no
103,21,21.1,0.24,450.2,46,879.2,18.3,23.2,day,2.614285714,no
104,21,26.7,0.34,257.2,19.9,385.2,11.3,15.6,day,1.614285714,no
105,21,29.4,0.3,50,16,274.9,10.4,13.2,day,1.485714286,yes
106,22,10.7,0.0225,107.2,423.9,118.5,21.14164905,257.7,day,21.14164905,no
107,22,14.7,0.0215,90.2,562.6,134.2,12.06272618,258,day,12.06272618,no
108,22,19.7,0.0194,81.4,430,114.6,8.34028357,283.1,day,8.34028357,no
109,22,25.8,0.0142,20.8,407.4,37.3,6.150061501,232.4,day,6.150061501,no
110,23,10.8,0.0235,48,320.2,55.5,20.40816327,193.5,day,20.40816327,no
111,23,14.8,0.0245,63.7,419.8,70.8,11.65501166,202.5,day,11.65501166,no
112,23,20,0.0233,69.1,441.5,75.2,7.26744186,217.1,day,7.26744186,yes
113,23,25.8,0.0214,65.5,369.9,68.5,5.12295082,231.5,day,5.12295082,yes
114,24,5,0.0026,NA,570,13.5,358,NA,day,358,no
115,24,10,0.0086,NA,285,18.5,189,NA,day,189,no
116,24,15,0.0154,NA,153,34.3,105,NA,day,105,no
117,24,20,0.022,NA,114,35.6,81,NA,day,81,no
118,24,25,0.0286,NA,101,36.8,73,NA,day,73,no
119,25,20,0.05,5.07,10.26,14.22,23.9,31.22,day,23.9,no
120,25,25,0.07,4.6,8.5,14.47,16.9,21.61,day,16.9,no
121,25,30,0.16,16.01,9.06,23.92,11.8,17.51,day,11.8,no
122,25,35,0.04,1.67,6.27,13.37,11.5,13.21,day,11.5,yes
123,26,20,0.19,18.37,19.1,10.5,11.8,14.78,day,11.8,no
124,26,25,0.32,31.02,28,20.4,8.1,10.2,day,8.1,no
125,26,28,0.38,35.64,31.8,28.8,6.5,7.92,day,6.5,no
126,26,30,0.34,31.26,26.6,20,4.6,5.9,day,4.6,yes
127,26,32,0.16,6.15,20.9,14.8,3.9,4.9,day,3.9,yes
128,27,16,0.9083,NA,NA,70.86,62.43,NA,day,62.43,no
129,27,18,1.4656,NA,NA,70.98,45.48,NA,day,45.48,no
130,27,20,2.1736,5.3804,88,77.11,31.72,45.3,day,31.72,no
131,27,22,2.5649,8.044,85,81.05,24.58,40.43,day,24.58,no
132,27,24,2.7428,9.511,72,81.31,19.58,37.59,day,19.58,no
133,27,26,3.1162,13.82,68,88.47,16.25,34.55,day,16.25,no
134,27,28,3.1228,13.907,64,91.57,14.25,28.56,day,14.25,no
135,27,30,2.5377,7.745,59,72.7,12.63,23.12,day,12.63,yes
136,27,34,1.5019,2.809,35,56.13,11.56,18.5,day,11.56,yes
137,28,20,0.032,41.66,NA,228.5,109.4091904,117.56,day,109.4091904,no
138,28,25,0.0866,90.94,NA,496.8,45.66210046,52.66,day,45.66210046,no
139,28,27,0.104,58.4,NA,321.2,33.55704698,39.54,day,33.55704698,no
140,28,30,0.1496,96.29,NA,529,25.18891688,30.5,day,25.18891688,no
141,28,33,0.0972,27.51,NA,151.4,29.76190476,33.65,day,29.76190476,yes
142,29,22,0.0464,24.18,10.2,166.5,65.8,68.72,day,65.8,no
143,29,25,0.054,19.92,8.2,136.3,52.5,55.37,day,52.5,no
144,29,28,0.0452,7.95,6.1,93.5,44.1,45.87,day,44.1,yes
145,29,31,0.0098,1.5,5.6,112.8,40.4,41.25,day,40.4,yes
146,30,4.4,-0.023,0.11,NA,0.67,88.69,98,day,88.69,no
147,30,7.2,0.0427,14.62,NA,24.81,41.47,67.73,day,41.47,no
148,30,10,0.1039,47.83,NA,62.67,24.36,42.32,day,24.36,no
149,30,12.8,0.1316,54.25,NA,70.65,18.08,35.47,day,18.08,no
150,30,15.6,0.2006,69.99,NA,90.49,13.57,26.98,day,13.57,no
151,30,18.3,0.1994,63.83,NA,76.51,11.85,24.68,day,11.85,no
152,30,21.1,0.2336,60.25,NA,74.03,8.62,20.53,day,8.62,no
153,30,23.9,0.3168,31.32,NA,72.73,6.43,12.63,day,6.43,no
154,30,26.7,0.3355,21.83,NA,28.01,5.82,10.1,day,5.82,no
155,31,18,0.115,33.77,NA,51.48,22.98,30.52,day,22.98,no
156,31,21,0.187,56.07,NA,88.39,18.31,21.53,day,18.31,no
157,31,24,0.201,75.06,NA,126.16,14.69,21.48,day,14.69,no
158,31,27,0.245,75.66,NA,119.33,12.21,17.66,day,12.21,no
159,31,29,0.318,111.48,NA,157.27,9.33,14.82,day,9.33,no
160,31,32,0.346,141.43,NA,182.76,9.1,14.31,day,9.1,no
161,31,35,0.431,92.37,NA,133.76,8.12,10.5,day,8.12,no
162,32,5,4.85E-03,1.1063,27.4,1.8,17.4,16.9,day,17.4,no
163,32,10,3.32E-02,1.562,22.2,2.3,10.3,13.1,day,10.3,no
164,32,15,0.095,2.0598,15.4,3.2,6.6,8.1,day,6.6,no
165,32,20,0.0816,1.5436,9.1,2.1,4.3,5.3,day,4.3,yes
166,32,25,0.0755,1.297,6.7,2.5,2.9,3.4,day,2.9,yes
167,33,16,0.024,12.7,136.5,396.3,NA,106.2,day,106.2,no
168,33,18,0.077,133.5,111.5,546.8,NA,65,day,65,no
169,33,24,0.148,264.5,79.1,880.5,NA,37.5,day,37.5,no
170,33,29,0.175,201.4,56.6,797.3,NA,30.3,day,30.3,no
171,33,32,-0.137,0.1,35.6,189,NA,24.3,day,24.3,yes
172,34,16,-0.0003,1.5,133.5,175.4,NA,133.2,day,133.2,no
173,34,18,0.067,190.3,97.7,1479,NA,77.4,day,77.4,no
174,34,24,0.14,560.2,71.5,2682.7,NA,45.1,day,45.1,no
175,34,29,0.161,211.6,37.8,975.4,NA,33.4,day,33.4,no
176,34,32,-0.06,0.2,27.5,163.4,NA,28.1,day,28.1,yes
177,35,16,-0.018,0.2,58.8,70.2,NA,91.2,day,91.2,no
178,35,18,0.055,53.3,80.3,408.6,NA,73.1,day,73.1,no
179,35,24,0.092,60.8,46.3,462.8,NA,43.6,day,43.6,no
180,35,29,0.119,48.6,36.4,379.8,NA,31.7,day,31.7,no
181,36,16,0.043,42.6,107.3,239.7,NA,88.6,day,88.6,no
182,36,18,0.085,211.1,88.5,1108.8,NA,62.7,day,62.7,no
183,36,24,0.171,257.6,34.9,1289.3,NA,32.6,day,32.6,no
184,36,29,0.204,198.9,36.5,926.2,NA,26,day,26,no
185,36,32,-0.056,0.3,12.5,143.5,NA,23.8,day,23.8,yes
